INDV	N_SITES	MEAN_DEPTH
SlopervilleBayNY_923	5760	17.1125
SlopervilleBayNY_926	2328	6.44029
SlopervilleBayNY_932	5082	21.4787
SlopervilleBayNY_937	4545	10.9358
SlopervilleBayNY_938	5325	14.0901
SlopervilleBayNY_939	5477	14.7979
SlopervilleBayNY_940	4770	15.9407
SlopervilleBayNY_941	5941	18.9662
SlopervilleBayNY_943	5643	17.2532
SmithIslandVA_549	5757	19.8711
SmithIslandVA_550	6570	28.3029
SmithIslandVA_551	6103	33.399
SouthKingstownRI_1364	5928	25.2768
SouthKingstownRI_1365	5914	20.6909
SouthKingstownRI_1366	6156	18.6173
SouthKingstownRI_1368	4752	16.3194
SouthKingstownRI_1369	5331	21.0516
SouthKingstownRI_1370	6113	18.6229
SouthKingstownRI_1371	3816	12.8438
SouthKingstownRI_1372	5897	21.3069
SouthKingstownRI_1373	6336	25.5895
SouthKingstownRI_1374	6492	40.1933
SouthKingstownRI_1377	4754	15.692
SouthKingstownRI_1378	5804	17.6168
SouthQuaySandhillsVA_241	4411	13.5745
SouthQuaySandhillsVA_243	5679	18.0799
SouthQuaySandhillsVA_244	5436	16.7162
SouthQuaySandhillsVA_245	2853	8.17736
SouthQuaySandhillsVA_246	5160	14.5058
SouthQuaySandhillsVA_247	5997	20.5211
SouthQuaySandhillsVA_248	5669	17.8349
SouthQuaySandhillsVA_249	5649	20.185
SouthQuaySandhillsVA_251	3654	9.34729
SouthQuaySandhillsVA_252	4800	14.7494
SouthQuaySandhillsVA_253	6297	36.7642
SouthQuaySandhillsVA_254	4507	14.148
SouthQuaySandhillsVA_255	5624	17.4739
SouthQuaySandhillsVA_256	5280	17.2591
SouthQuaySandhillsVA_257	5593	22.6682
SouthQuaySandhillsVA_258	5832	26.9436
SouthQuaySandhillsVA_259	3484	10.7279
SouthQuaySandhillsVA_260	6166	23.4502
SouthQuaySandhillsVA_261	5868	18.106
SouthQuaySandhillsVA_263	5940	19.1453
SouthQuaySandhillsVA_264	2975	8.79765
SouthQuaySandhillsVA_265	6627	28.4344
SouthQuaySandhillsVA_266	5520	18.1534
SouthQuaySandhillsVA_268	5988	31.851
SquibnocketMA_1753	5329	21.2531
SRELNA_1178	6341	23.1585
SRELNA_1179	5632	17.0918
SRELNA_1180	5928	25.2768
SRELNA_1181	5914	20.6909
SRELNA_1182	6156	18.6173
SRELNA_1183	4752	16.3194
SRELNA_1184	5331	21.0516
SRELNA_1185	6113	18.6229
SRELNA_1186	3816	12.8438
SRELNA_1187	5897	21.3069
SRELNA_1188	6336	25.5895
SRELNA_1189	6492	40.1933
SRELNA_1190	4754	15.692
SRELNA_1191	5804	17.6168
SRELNA_1192	5361	13.8974
SRELNA_1193	2575	6.16932
SRELNA_1194	4192	15.1713
SRELNA_1196	5546	14.8837
SRELNA_1197	5542	17.2569
SRELNA_1198	5398	16.2001
SRELNA_1199	4903	11.8256
SRELNA_1200	4580	14.85
SRELNA_1201	6719	27.9482
SRELNA_1202	5390	12.9751
SRELNA_1203	5312	21.0326
SRELNA_1204	155	1.07742
SRELNA_1205	5722	16.9803
SRELNA_1206	4882	12.179
SRELNA_1207	5335	21.8748
SSPPA_1208	2600	12.8677
SSPPA_1209	6580	33.178
SSPPA_1210	2303	5.34564
SSPPA_1211	6310	26.2254
SSPPA_1213	5950	22.6503
SSPPA_1214	5093	21.4665
SSPPA_1215	6345	29.0563
SSPPA_1217	87	1.56322
SSPPA_1218	4807	12.5673
SSPPA_1221	6525	30.053
SSPPA_1224	23	1
SSPPA_1228	5654	20.6151
SyracuseNY_953	6207	21.7413
